Date,usd_cad,aud_usd,usd_jpy,gbp_usd,euro_usd
8/20/2021,1.2821,0.7134,109.8,1.3621,1.1696
8/19/2021,1.2826,0.7146,109.72,1.3638,1.1674
8/18/2021,1.2655,0.7231,109.74,1.3755,1.171
8/17/2021,1.263,0.7249,109.57,1.3739,1.1708
8/16/2021,1.2572,0.7337,109.23,1.385,1.1777
8/13/2021,1.2513,0.7369,109.57,1.3863,1.1791
8/12/2021,1.2525,0.7334,110.38,1.3804,1.1727
8/11/2021,1.2506,0.7372,110.4,1.3872,1.1737
8/10/2021,1.2519,0.735,110.56,1.3843,1.1718
8/9/2021,1.2574,0.7333,110.28,1.3844,1.1737
8/6/2021,1.2552,0.7353,110.25,1.3871,1.176
8/5/2021,1.2507,0.7404,109.74,1.3928,1.1832
8/4/2021,1.2534,0.7379,109.47,1.3885,1.1835
8/3/2021,1.2536,0.7394,109.04,1.3914,1.186
8/2/2021,1.2509,0.736,109.28,1.3881,1.1867
7/30/2021,1.247,0.7344,109.7,1.3901,1.187
7/29/2021,1.2444,0.7395,109.46,1.3961,1.1886
7/28/2021,1.2527,0.7376,109.9,1.3898,1.1842
7/27/2021,1.26,0.736,109.76,1.3874,1.1814
7/26/2021,1.254,0.738,110.34,1.3816,1.1799
7/23/2021,1.2561,0.7364,110.54,1.3745,1.1771
7/22/2021,1.2564,0.7378,110.14,1.3763,1.177
7/21/2021,1.2552,0.7358,110.27,1.371,1.1792
7/20/2021,1.2677,0.7329,109.84,1.3626,1.1779
7/19/2021,1.2748,0.7342,109.44,1.3672,1.1798
7/16/2021,1.2611,0.7402,110.08,1.3772,1.1805
7/15/2021,1.2592,0.7427,109.86,1.3828,1.1812
7/14/2021,1.2506,0.748,109.99,1.3856,1.1835
7/13/2021,1.251,0.7446,110.61,1.3808,1.1774
7/12/2021,1.2451,0.7475,110.35,1.388,1.1859
7/9/2021,1.2446,0.7485,110.14,1.3899,1.1873
7/8/2021,1.2532,0.7429,109.79,1.3785,1.1842
7/7/2021,1.2477,0.7481,110.65,1.38,1.1789
7/6/2021,1.2462,0.7497,110.6,1.3799,1.1822
7/5/2021,1.2338,0.7529,110.96,1.3845,1.1861
7/2/2021,1.2319,0.7525,111.04,1.3821,1.1864
7/1/2021,1.2436,0.7469,111.5,1.3767,1.1848
6/30/2021,1.2394,0.7498,111.1,1.3827,1.1855
6/29/2021,1.2401,0.7511,110.5,1.3835,1.1895
6/28/2021,1.2335,0.7567,110.62,1.3883,1.1924
6/25/2021,1.2294,0.7586,110.77,1.3877,1.1933
6/24/2021,1.2322,0.7582,110.86,1.3922,1.193
6/23/2021,1.2305,0.7575,110.94,1.3959,1.1925
6/22/2021,1.2305,0.7553,110.64,1.3947,1.1938
6/21/2021,1.2359,0.7535,110.3,1.3929,1.1915
6/18/2021,1.2462,0.7477,110.19,1.3809,1.186
6/17/2021,1.2361,0.755,110.2,1.3919,1.1906
6/16/2021,1.2276,0.761,110.69,1.3987,1.1994
6/15/2021,1.218,0.7685,110.07,1.408,1.2124
6/14/2021,1.2141,0.7711,110.06,1.4112,1.2118
6/11/2021,1.2155,0.7706,109.65,1.4106,1.2106
6/10/2021,1.2094,0.7752,109.31,1.4173,1.2169
6/9/2021,1.2109,0.7729,109.61,1.4118,1.2178
6/8/2021,1.211,0.774,109.49,1.4155,1.2171
6/7/2021,1.2079,0.7753,109.24,1.4178,1.2189
6/4/2021,1.2079,0.7737,109.49,1.4154,1.2165
6/3/2021,1.2102,0.7658,110.28,1.4103,1.2124
6/2/2021,1.2032,0.7752,109.54,1.4168,1.2209
6/1/2021,1.207,0.7754,109.45,1.4146,1.2211
           6/31/2021,1.2062,0.7734,109.54,1.4209,1.2225
5/28/2021,1.2068,0.7713,109.81,1.4187,1.2189
5/27/2021,1.2064,0.774,109.8,1.4205,1.2192
5/26/2021,1.2117,0.7739,109.14,1.4118,1.219
5/25/2021,1.2062,0.775,108.76,1.4151,1.225
5/24/2021,1.2039,0.7752,108.74,1.4155,1.2215
5/21/2021,1.2066,0.7731,108.94,1.4147,1.2179
5/20/2021,1.2058,0.7775,108.75,1.4189,1.2226
5/19/2021,1.2131,0.7726,109.21,1.4113,1.2172
5/18/2021,1.2064,0.7791,108.88,1.4187,1.222
5/17/2021,1.2066,0.7763,109.19,1.4134,1.2151
5/14/2021,1.2102,0.7772,109.34,1.4096,1.214
5/13/2021,1.216,0.7729,109.45,1.405,1.2078
5/12/2021,1.2131,0.7725,109.65,1.4052,1.2069
5/11/2021,1.2099,0.784,108.61,1.4141,1.2146
5/10/2021,1.2097,0.783,108.78,1.412,1.2129
5/7/2021,1.213,0.7842,108.6,1.3972,1.2163
5/6/2021,1.2148,0.7779,109.08,1.3885,1.2064
5/5/2021,1.2264,0.7747,109.18,1.3903,1.2005
5/4/2021,1.2309,0.7705,109.33,1.3885,1.2013
5/3/2021,1.2276,0.7761,109.06,1.3909,1.2061
4/30/2021,1.2289,0.7716,109.27,1.3814,1.2018
4/29/2021,1.2279,0.7764,108.91,1.394,1.2118
4/28/2021,1.2312,0.7788,108.59,1.3932,1.2123
4/27/2021,1.2393,0.7764,108.68,1.3912,1.209
4/26/2021,1.2395,0.7799,108.08,1.3896,1.2083
4/23/2021,1.2475,0.7745,107.91,1.3874,1.2099
4/22/2021,1.2504,0.7707,107.96,1.3836,1.2015
4/21/2021,1.2496,0.7751,108.05,1.3929,1.2033
4/20/2021,1.2607,0.7723,108.08,1.3936,1.2033
4/19/2021,1.2532,0.7757,108.15,1.3983,1.2033
4/16/2021,1.2504,0.7733,108.77,1.383,1.1983
4/15/2021,1.2541,0.775,108.74,1.3786,1.1965
4/14/2021,1.252,0.772,108.91,1.3778,1.1978
4/13/2021,1.2531,0.7638,109.05,1.3748,1.1946
4/12/2021,1.2561,0.7622,109.37,1.374,1.1909
4/9/2021,1.2527,0.7621,109.65,1.3708,1.1896
4/8/2021,1.2562,0.7652,109.24,1.3733,1.1912
4/7/2021,1.2607,0.7614,109.84,1.3734,1.187
4/6/2021,1.2563,0.7662,109.74,1.3823,1.1875
4/5/2021,1.2521,0.7649,110.17,1.3897,1.1811
4/2/2021,1.2573,0.7606,110.71,1.3829,1.1762
4/1/2021,1.2545,0.7617,110.6,1.383,1.1775
3/31/2021,1.2558,0.7596,110.7,1.3779,1.1728
3/30/2021,1.2634,0.7594,110.34,1.3739,1.1714
3/29/2021,1.2588,0.763,109.78,1.3759,1.1762
3/26/2021,1.2576,0.7636,109.64,1.3787,1.1796
3/25/2021,1.261,0.7579,109.17,1.3732,1.1764
3/24/2021,1.2575,0.7582,108.72,1.3683,1.1812
3/23/2021,1.2585,0.7622,108.56,1.375,1.1849
3/22/2021,1.252,0.7744,108.83,1.3863,1.1931
3/19/2021,1.2497,0.7742,108.87,1.3868,1.1903
3/18/2021,1.2484,0.7756,108.88,1.392,1.1915
3/17/2021,1.24,0.7794,108.83,1.3963,1.1978
3/16/2021,1.2443,0.7745,108.98,1.3887,1.19
3/15/2021,1.2468,0.7754,109.12,1.3893,1.1928
3/12/2021,1.2471,0.7765,109,1.3922,1.1952
3/11/2021,1.2526,0.7787,108.49,1.399,1.1984
3/10/2021,1.2617,0.7734,108.38,1.393,1.1925
3/9/2021,1.2634,0.7711,108.46,1.3893,1.1898
3/8/2021,1.266,0.7649,108.86,1.3824,1.1843
3/5/2021,1.2655,0.7686,108.34,1.3841,1.1917
3/4/2021,1.2665,0.7725,107.97,1.3894,1.1966
3/3/2021,1.2653,0.7775,106.99,1.3953,1.2062
3/2/2021,1.2631,0.7818,106.67,1.3953,1.2089
3/1/2021,1.2645,0.7769,106.75,1.3922,1.2047
2/26/2021,1.2739,0.7705,106.58,1.3932,1.2074
2/25/2021,1.2599,0.7872,106.21,1.4013,1.2176
2/24/2021,1.2511,0.7967,105.86,1.4139,1.2164
2/23/2021,1.2587,0.791,105.24,1.411,1.2149
2/22/2021,1.261,0.7915,105.06,1.4061,1.2154
2/19/2021,1.261,0.7869,105.43,1.4014,1.2117
2/18/2021,1.2677,0.7767,105.66,1.3971,1.2088
2/17/2021,1.2699,0.7749,105.85,1.3853,1.2036
2/16/2021,1.2686,0.7756,106.04,1.3901,1.2104
2/15/2021,1.2638,0.7778,105.36,1.3903,1.2127
2/12/2021,1.2694,0.7753,104.93,1.3844,1.2118
2/11/2021,1.2702,0.7751,104.72,1.3815,1.2128
2/10/2021,1.2699,0.7721,104.57,1.3828,1.2116
2/9/2021,1.2693,0.7738,104.57,1.3814,1.2117
2/8/2021,1.2738,0.77,105.22,1.3738,1.2048
2/5/2021,1.2751,0.7677,105.36,1.3733,1.2042
2/4/2021,1.2825,0.7599,105.54,1.367,1.1962
2/3/2021,1.2781,0.7617,105.01,1.3644,1.2034
2/2/2021,1.278,0.7606,104.97,1.3665,1.2042
2/1/2021,1.2849,0.7619,104.91,1.3661,1.2059
1/29/2021,1.2777,0.7642,104.68,1.3702,1.2136
1/28/2021,1.2828,0.7679,104.21,1.3718,1.2121
1/27/2021,1.2798,0.7662,104.09,1.3686,1.2108
1/26/2021,1.2689,0.7743,103.6,1.3733,1.216
1/25/2021,1.2738,0.7708,103.73,1.3674,1.2137
1/22/2021,1.2735,0.7716,103.77,1.3684,1.2167
1/21/2021,1.2633,0.7763,103.48,1.3732,1.2162
1/20/2021,1.2629,0.7746,103.52,1.3653,1.2104
1/19/2021,1.2731,0.7695,103.89,1.3628,1.2128
1/18/2021,1.2754,0.7679,103.69,1.3584,1.2076
1/15/2021,1.2732,0.7702,103.87,1.3586,1.2078
1/14/2021,1.2635,0.7777,103.79,1.3687,1.2156
1/13/2021,1.2694,0.7732,103.85,1.3637,1.2157
1/12/2021,1.2708,0.7771,103.75,1.3663,1.2207
1/11/2021,1.2783,0.7695,104.24,1.3514,1.2149
1/8/2021,1.2683,0.7759,103.93,1.3563,1.2218
1/7/2021,1.2687,0.7768,103.8,1.3563,1.227
1/6/2021,1.2674,0.7801,103.04,1.3607,1.2325
1/5/2021,1.267,0.7759,102.72,1.3624,1.2294
1/4/2021,1.2777,0.7663,103.1,1.3569,1.2248
1/1/2021,1.2727,0.7704,103.2,1.3671,1.2212
12/31/2020,1.273,0.7694,103.24,1.3673,1.2213
12/30/2020,1.2758,0.7684,103.17,1.3622,1.2295
12/29/2020,1.2817,0.7605,103.56,1.35,1.2247
12/28/2020,1.2845,0.7577,103.78,1.3449,1.2214
12/25/2020,1.2869,0.7599,103.48,1.3548,1.2204
12/24/2020,1.2873,0.7596,103.63,1.3555,1.2186
12/23/2020,1.2845,0.7572,103.55,1.3492,1.2185
12/22/2020,1.2907,0.7521,103.63,1.336,1.2161
12/21/2020,1.2854,0.7585,103.3,1.3463,1.2242
12/18/2020,1.2783,0.7624,103.31,1.352,1.2255
12/17/2020,1.2719,0.7621,103.1,1.3582,1.2266
12/16/2020,1.2742,0.7576,103.48,1.3507,1.2197
12/15/2020,1.2697,0.7557,103.66,1.3461,1.2151
12/14/2020,1.276,0.7537,104.03,1.3322,1.2143
12/11/2020,1.2772,0.7533,104.01,1.3223,1.2111
12/10/2020,1.2737,0.7533,104.2,1.3293,1.2136
12/9/2020,1.2814,0.7445,104.21,1.3396,1.2081
12/8/2020,1.2814,0.7411,104.15,1.3353,1.2101
12/7/2020,1.2796,0.742,104.06,1.3376,1.2108
12/4/2020,1.278,0.7421,104.14,1.3437,1.212
12/3/2020,1.286,0.7438,103.83,1.3452,1.214
12/2/2020,1.2918,0.7415,104.4,1.3363,1.2115
12/1/2020,1.2932,0.7369,104.3,1.3415,1.207
11/30/2020,1.3,0.7345,104.27,1.3321,1.1928
11/27/2020,1.299,0.7386,104.1,1.3314,1.1962
11/26/2020,1.3013,0.7361,104.25,1.3355,1.1913
11/25/2020,1.3,0.7363,104.45,1.3382,1.1913
11/24/2020,1.2994,0.736,104.43,1.3356,1.1888
11/23/2020,1.3077,0.7285,104.54,1.3323,1.184
11/20/2020,1.3096,0.7302,103.85,1.3282,1.1853
11/19/2020,1.3071,0.7287,103.72,1.3261,1.1873
11/18/2020,1.3081,0.7305,103.83,1.3269,1.1852
11/17/2020,1.3102,0.7298,104.17,1.3241,1.1861
11/16/2020,1.3072,0.7318,104.56,1.3191,1.1853
11/13/2020,1.3131,0.7268,104.62,1.3186,1.1832
11/12/2020,1.3139,0.7231,105.12,1.3114,1.1804
11/11/2020,1.3062,0.7278,105.42,1.3221,1.1777
11/10/2020,1.3029,0.7284,105.28,1.3271,1.1814
11/9/2020,1.3007,0.7285,105.36,1.3163,1.1813
11/6/2020,1.3055,0.7255,103.33,1.3156,1.1872
11/5/2020,1.3047,0.7282,103.47,1.3142,1.1821
11/4/2020,1.3139,0.7173,104.48,1.2985,1.1722
11/3/2020,1.313,0.716,104.46,1.3058,1.1711
11/2/2020,1.3215,0.7053,104.71,1.2912,1.164
10/30/2020,1.3317,0.7026,104.64,1.2941,1.1647
10/29/2020,1.3323,0.7028,104.61,1.2926,1.1674
10/28/2020,1.3319,0.7044,104.29,1.2981,1.1744
10/27/2020,1.3184,0.7128,104.4,1.3043,1.1795
10/26/2020,1.3207,0.7122,104.82,1.3023,1.1808
10/23/2020,1.3121,0.7135,104.69,1.304,1.1859
10/22/2020,1.3133,0.7115,104.82,1.3081,1.1816
10/21/2020,1.3145,0.7117,104.56,1.3144,1.1861
10/20/2020,1.3124,0.7046,105.49,1.2944,1.1821
10/19/2020,1.3192,0.7067,105.42,1.2947,1.1766
10/16/2020,1.3187,0.708,105.4,1.2913,1.1718
10/15/2020,1.3219,0.7092,105.44,1.2914,1.1706
10/14/2020,1.3145,0.7162,105.15,1.3011,1.1746
10/13/2020,1.3137,0.716,105.47,1.2934,1.1744
10/12/2020,1.3111,0.7207,105.3,1.3064,1.1813
10/9/2020,1.3118,0.7239,105.59,1.3046,1.1824
10/8/2020,1.3194,0.7166,106.01,1.2933,1.1758
10/7/2020,1.3253,0.7138,105.96,1.2918,1.176
10/6/2020,1.3307,0.7104,105.62,1.2877,1.1734
10/5/2020,1.3265,0.7179,105.72,1.2977,1.1781
10/2/2020,1.3307,0.7162,105.33,1.2931,1.1713
10/1/2020,1.3287,0.7183,105.5,1.2889,1.1747
9/30/2020,1.3319,0.7161,105.45,1.2916,1.1718
9/29/2020,1.3387,0.7127,105.64,1.2861,1.1742
9/28/2020,1.3372,0.707,105.49,1.2827,1.1664
9/25/2020,1.3384,0.7027,105.6,1.2745,1.163
9/24/2020,1.3362,0.7045,105.4,1.2749,1.1672
9/23/2020,1.3385,0.7074,105.37,1.2722,1.1659
9/22/2020,1.3301,0.7174,104.91,1.2731,1.1706
9/21/2020,1.3306,0.7223,104.64,1.2814,1.1769
9/18/2020,1.3204,0.7289,104.55,1.2915,1.1837
9/17/2020,1.3164,0.7312,104.73,1.2972,1.1847
9/16/2020,1.3176,0.7305,104.94,1.2965,1.1814
9/15/2020,1.3181,0.7301,105.43,1.2886,1.1845
9/14/2020,1.3174,0.7288,105.72,1.2844,1.1868
9/11/2020,1.3174,0.7283,106.14,1.2793,1.1845
9/10/2020,1.319,0.7256,106.13,1.2803,1.1813
9/9/2020,1.3141,0.7282,106.17,1.3,1.1802
9/8/2020,1.3232,0.7214,106.01,1.2987,1.1779
9/7/2020,1.3096,0.7274,106.25,1.3166,1.1817
9/4/2020,1.3061,0.7279,106.23,1.3282,1.1838
9/3/2020,1.3126,0.7272,106.17,1.328,1.1849
9/2/2020,1.3042,0.7338,106.18,1.3352,1.1853
9/1/2020,1.3062,0.7371,105.95,1.3381,1.191
8/31/2020,1.3045,0.7375,105.89,1.3369,1.1936
8/28/2020,1.3097,0.7366,105.34,1.3349,1.1903
8/27/2020,1.3123,0.7258,106.55,1.3198,1.1821
8/26/2020,1.3139,0.7231,105.98,1.3208,1.1829
8/25/2020,1.3168,0.7194,106.36,1.315,1.1833
8/24/2020,1.3216,0.7161,105.97,1.3063,1.1787
8/21/2020,1.3175,0.7161,105.78,1.3087,1.1795
8/20/2020,1.3182,0.7191,105.79,1.3212,1.1859
8/19/2020,1.3213,0.7181,106.1,1.3098,1.1836
8/18/2020,1.3167,0.724,105.42,1.3235,1.1929
8/17/2020,1.3214,0.7214,105.99,1.3102,1.1869
8/14/2020,1.3266,0.7171,106.59,1.3084,1.1841
8/13/2020,1.322,0.7148,106.92,1.3063,1.1812
8/12/2020,1.3244,0.7162,106.89,1.3032,1.1782
8/11/2020,1.33,0.7142,106.48,1.3048,1.1739
8/10/2020,1.335,0.7149,105.95,1.307,1.1736
8/7/2020,1.3383,0.7157,105.91,1.3051,1.1786
8/6/2020,1.3304,0.7233,105.54,1.3146,1.1875
8/5/2020,1.3264,0.7191,105.57,1.3112,1.1861
8/4/2020,1.3317,0.716,105.7,1.306,1.18
8/3/2020,1.3389,0.7123,105.94,1.3072,1.1761
7/31/2020,1.3413,0.7142,105.88,1.3088,1.1774
7/30/2020,1.3422,0.7193,104.72,1.3093,1.1846
7/29/2020,1.334,0.7186,104.91,1.2995,1.179
7/28/2020,1.3376,0.7157,105.08,1.293,1.1714
7/27/2020,1.3354,0.7149,105.37,1.2881,1.1751
7/24/2020,1.3413,0.7103,106.12,1.2789,1.1654
7/23/2020,1.3408,0.7097,106.85,1.2739,1.1594
7/22/2020,1.3415,0.7138,107.14,1.2732,1.1568
7/21/2020,1.3457,0.7127,106.76,1.2728,1.1526
7/20/2020,1.3533,0.7013,107.24,1.266,1.1444
7/17/2020,1.3576,0.6995,106.99,1.2565,1.1426
7/16/2020,1.357,0.6969,107.26,1.2549,1.1383
7/15/2020,1.3508,0.7007,106.92,1.258,1.141
7/14/2020,1.3612,0.6974,107.23,1.2548,1.1396
7/13/2020,1.3608,0.6939,107.26,1.2552,1.134
7/10/2020,1.3591,0.6948,106.89,1.262,1.1298
7/9/2020,1.3584,0.6963,107.19,1.2604,1.1281
7/8/2020,1.351,0.6982,107.25,1.2609,1.1329
7/7/2020,1.3602,0.6946,107.51,1.254,1.127
7/6/2020,1.3536,0.6973,107.35,1.2491,1.1308
,1.3545,0.6937,107.5,1.2483,1.1248
7/2/2020,1.3563,0.6922,107.48,1.2466,1.1238
7/1/2020,1.3585,0.6914,107.46,1.247,1.125
6/30/2020,1.3573,0.6902,107.92,1.2399,1.1231
6/29/2020,1.3657,0.6864,107.56,1.2296,1.124
6/26/2020,1.3688,0.686,107.21,1.2333,1.1217
6/25/2020,1.3636,0.6885,107.19,1.2414,1.1217
6/24/2020,1.3637,0.6872,107.02,1.2418,1.125
6/23/2020,1.3545,0.6929,106.51,1.2518,1.1306
6/22/2020,1.352,0.6905,106.87,1.2461,1.1258
6/19/2020,1.3603,0.6832,106.87,1.2356,1.1175
6/18/2020,1.3599,0.6851,106.96,1.2424,1.1202
6/17/2020,1.3563,0.6883,107,1.2554,1.1243
6/16/2020,1.3542,0.6884,107.32,1.2574,1.1263
6/15/2020,1.357,0.6918,107.31,1.2602,1.1322
6/12/2020,1.3583,0.6862,107.34,1.254,1.1254
6/11/2020,1.3624,0.6854,106.85,1.26,1.1297
6/10/2020,1.3411,0.6997,107.09,1.2745,1.1369
6/9/2020,1.3414,0.6961,107.72,1.2729,1.134
6/8/2020,1.3382,0.7019,108.42,1.2722,1.1292
6/5/2020,1.3424,0.6968,109.58,1.2663,1.1284
6/4/2020,1.3498,0.6942,109.13,1.2594,1.1336
6/3/2020,1.3493,0.6919,108.89,1.2572,1.1232
6/2/2020,1.3516,0.6894,108.66,1.2549,1.1169
6/1/2020,1.3571,0.6797,107.58,1.2492,1.1134
5/29/2020,1.3769,0.6666,107.77,1.2344,1.1098
5/28/2020,1.3761,0.6635,107.63,1.2316,1.1076
5/27/2020,1.375,0.662,107.71,1.225,1.1003
5/26/2020,1.3777,0.6651,107.52,1.2331,1.098
5/25/2020,1.3984,0.6544,107.69,1.2182,1.0899
5/22/2020,1.3994,0.6535,107.61,1.2164,1.09
5/21/2020,1.3952,0.6564,107.61,1.2222,1.0949
5/20/2020,1.39,0.6597,107.51,1.2239,1.0977
5/19/2020,1.3941,0.6536,107.68,1.2251,1.0921
5/18/2020,1.3934,0.6523,107.33,1.2189,1.0912
5/15/2020,1.4108,0.6414,107.02,1.2104,1.0815
5/14/2020,1.4048,0.6461,107.24,1.2226,1.0804
5/13/2020,1.4099,0.6454,107.02,1.2229,1.0816
5/12/2020,1.4077,0.6469,107.13,1.2259,1.0846
5/11/2020,1.4006,0.6488,107.66,1.2335,1.0806
5/8/2020,1.3925,0.6529,106.65,1.2407,1.084
5/7/2020,1.397,0.6494,106.27,1.2361,1.0832
5/6/2020,1.4143,0.64,106.14,1.2341,1.0794
5/5/2020,1.4045,0.643,106.58,1.2434,1.0838
5/4/2020,1.4083,0.6426,106.73,1.2442,1.0906
5/1/2020,1.4084,0.6418,106.93,1.2502,1.0983
4/30/2020,1.3941,0.651,107.17,1.2592,1.0955
4/29/2020,1.3877,0.6555,106.7,1.2464,1.0873
